alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Airfoil,CL/CD
-1.0,0.046,0.00488,0.00102,-0.0407,0.898,0.5716,airfoil_0520,9.426229508196721
0.0,0.1547,0.00452,0.00094,-0.0391,0.8389,0.7135,airfoil_0520,34.22566371681416
1.0,0.2562,0.00446,0.00101,-0.0356,0.7153,0.8781,airfoil_0520,57.443946188340796
2.0,0.3752,0.00529,0.00129,-0.0364,0.5189,0.9888,airfoil_0520,70.92627599243855
3.0,0.4935,0.00646,0.00171,-0.038,0.3245,1.0,airfoil_0520,76.39318885448917
4.0,0.5916,0.00805,0.00245,-0.0353,0.1279,1.0,airfoil_0520,73.49068322981367
5.0,0.6949,0.0094,0.00342,-0.0334,0.047,1.0,airfoil_0520,73.92553191489361
6.0,0.7994,0.01078,0.00474,-0.0316,0.0236,1.0,airfoil_0520,74.15584415584416
7.0,0.9018,0.01247,0.00656,-0.0294,0.0176,1.0,airfoil_0520,72.31756214915798
8.0,0.9969,0.01512,0.00946,-0.0261,0.0144,1.0,airfoil_0520,65.93253968253968
9.0,1.0922,0.01749,0.01208,-0.023,0.0122,1.0,airfoil_0520,62.44711263579189
10.0,1.1672,0.02248,0.0176,-0.0175,0.0107,1.0,airfoil_0520,51.92170818505338
11.0,1.231,0.02783,0.0236,-0.0111,0.0098,1.0,airfoil_0520,44.232842256557674
12.0,1.2672,0.03319,0.02949,-0.0024,0.0088,1.0,airfoil_0520,38.18017475143116
13.0,1.2452,0.04366,0.04058,0.0045,0.0084,1.0,airfoil_0520,28.520384791571235
14.0,1.1741,0.06939,0.06707,-0.0095,0.0084,1.0,airfoil_0520,16.92030551952731
-5.0,-0.1256,0.0114,0.0065,-0.0745,0.8714,0.0185,airfoil_0525,-11.017543859649122
-4.0,-0.0174,0.0097,0.0043,-0.0726,0.8057,0.0222,airfoil_0525,-1.7938144329896906
-3.0,0.0918,0.00886,0.00305,-0.071,0.7248,0.0276,airfoil_0525,10.361173814898422
-2.0,0.2008,0.0085,0.00225,-0.0696,0.6225,0.0345,airfoil_0525,23.623529411764704
-1.0,0.31,0.00855,0.0018,-0.0685,0.4996,0.0443,airfoil_0525,36.25730994152047
0.0,0.4183,0.00896,0.0017,-0.0674,0.3642,0.0731,airfoil_0525,46.68526785714286
1.0,0.528,0.00941,0.00188,-0.0668,0.2869,0.1205,airfoil_0525,56.1105207226355
2.0,0.6432,0.00769,0.00225,-0.0677,0.2665,0.9999,airfoil_0525,83.64109232769832
3.0,0.7516,0.00824,0.00263,-0.0666,0.255,0.9999,airfoil_0525,91.2135922330097
4.0,0.8614,0.00874,0.00307,-0.0658,0.2479,0.9999,airfoil_0525,98.55835240274601
5.0,0.9692,0.00947,0.00376,-0.0649,0.2401,0.9999,airfoil_0525,102.34424498416051
6.0,1.0784,0.01004,0.00439,-0.0642,0.2337,0.9999,airfoil_0525,107.41035856573706
7.0,1.1846,0.01087,0.00526,-0.0631,0.2238,0.9999,airfoil_0525,108.97884084636615
8.0,1.2913,0.01155,0.00602,-0.0622,0.211,0.9999,airfoil_0525,111.8008658008658
9.0,1.3996,0.01201,0.00658,-0.0615,0.1883,0.9999,airfoil_0525,116.53621981681931
10.0,1.4892,0.01402,0.00825,-0.0584,0.1181,0.9999,airfoil_0525,106.21968616262482
11.0,1.5455,0.01841,0.01215,-0.0507,0.0332,0.9999,airfoil_0525,83.94894079304727
12.0,1.5926,0.02194,0.01578,-0.0417,0.0172,0.9999,airfoil_0525,72.58887876025524
13.0,1.6251,0.02659,0.02073,-0.0331,0.0127,0.9999,airfoil_0525,61.116961263632945
14.0,1.6265,0.0352,0.02976,-0.027,0.0106,0.9999,airfoil_0525,46.20738636363636
15.0,1.611,0.04864,0.04369,-0.0273,0.0098,0.9999,airfoil_0525,33.12088815789473
-5.0,-0.5925,0.00913,0.00332,0.0056,1.0,0.0382,airfoil_0522,-64.89594742606792
-4.0,-0.4865,0.00804,0.00245,0.0068,0.9985,0.0899,airfoil_0522,-60.50995024875621
-3.0,-0.3452,0.00663,0.00174,0.0,0.9885,0.2575,airfoil_0522,-52.066365007541485
-2.0,-0.2119,0.00538,0.00127,-0.0046,0.9642,0.4707,airfoil_0522,-39.386617100371744
-1.0,-0.1027,0.00467,0.00101,-0.0032,0.9047,0.632,airfoil_0522,-21.991434689507496
0.0,-0.0001,0.00443,0.00089,0.0,0.7852,0.7855,airfoil_0522,-0.022573363431151242
1.0,0.1026,0.00467,0.00101,0.0032,0.6319,0.9048,airfoil_0522,21.970021413276232
2.0,0.2119,0.00538,0.00127,0.0047,0.4709,0.9642,airfoil_0522,39.386617100371744
3.0,0.3451,0.00662,0.00174,-0.0,0.2581,0.9885,airfoil_0522,52.129909365558916
4.0,0.4864,0.00804,0.00245,-0.0068,0.0897,0.9985,airfoil_0522,60.49751243781094
5.0,0.5925,0.00912,0.00332,-0.0056,0.0382,1.0,airfoil_0522,64.9671052631579
6.0,0.6887,0.01038,0.00457,-0.002,0.0244,1.0,airfoil_0522,66.34874759152216
7.0,0.7841,0.01211,0.00644,0.0016,0.0181,1.0,airfoil_0522,64.74814203137903
8.0,0.8798,0.01429,0.00883,0.0048,0.0138,1.0,airfoil_0522,61.56752974107768
9.0,0.979,0.01616,0.01092,0.0073,0.0114,1.0,airfoil_0522,60.58168316831683
10.0,1.0611,0.02054,0.01582,0.0116,0.0099,1.0,airfoil_0522,51.66017526777021
11.0,1.1307,0.02597,0.02193,0.0166,0.009,1.0,airfoil_0522,43.53869849826723
12.0,1.1668,0.03309,0.02977,0.0232,0.0083,1.0,airfoil_0522,35.26140828044726
13.0,1.1333,0.04666,0.04405,0.0235,0.0081,1.0,airfoil_0522,24.288469781397342
-5.0,-0.5624,0.0086,0.00315,-0.0028,0.9853,0.1393,airfoil_0527,-65.3953488372093
-4.0,-0.4346,0.00737,0.00238,-0.0061,0.9649,0.2437,airfoil_0527,-58.96879240162822
-3.0,-0.3252,0.00649,0.00184,-0.0047,0.9244,0.3519,airfoil_0527,-50.10785824345146
-2.0,-0.2185,0.00589,0.00146,-0.0027,0.8592,0.4652,airfoil_0527,-37.096774193548384
-1.0,-0.1095,0.00558,0.00123,-0.0013,0.7737,0.5702,airfoil_0527,-19.623655913978496
0.0,0.0,0.00547,0.00116,-0.0,0.6811,0.6811,airfoil_0527,0.0
1.0,0.1095,0.00558,0.00123,0.0013,0.5703,0.7738,airfoil_0527,19.623655913978496
2.0,0.2185,0.00589,0.00146,0.0027,0.4651,0.8588,airfoil_0527,37.096774193548384
3.0,0.3252,0.00649,0.00184,0.0047,0.3516,0.9245,airfoil_0527,50.10785824345146
4.0,0.4346,0.00737,0.00238,0.006,0.2439,0.9651,airfoil_0527,58.96879240162822
5.0,0.5625,0.0086,0.00315,0.0028,0.1392,0.9853,airfoil_0527,65.40697674418605
6.0,0.7016,0.00989,0.00411,-0.0031,0.0758,0.9943,airfoil_0527,70.94034378159758
7.0,0.837,0.01118,0.00526,-0.0082,0.0476,1.0,airfoil_0527,74.86583184257601
8.0,0.9209,0.01244,0.00651,-0.0024,0.0352,1.0,airfoil_0527,74.02733118971062
9.0,1.0058,0.01391,0.00805,0.0032,0.0285,1.0,airfoil_0527,72.3076923076923
10.0,1.0916,0.01574,0.01001,0.0082,0.0242,1.0,airfoil_0527,69.35196950444725
11.0,1.1757,0.01803,0.01246,0.0128,0.0209,1.0,airfoil_0527,65.2079866888519
12.0,1.2539,0.02058,0.01528,0.0178,0.0187,1.0,airfoil_0527,60.92808551992225
13.0,1.296,0.02464,0.01964,0.0266,0.0169,1.0,airfoil_0527,52.5974025974026
14.0,1.3323,0.02967,0.02504,0.0325,0.0157,1.0,airfoil_0527,44.903943377148636
15.0,1.3462,0.03865,0.03439,0.0332,0.0146,1.0,airfoil_0527,34.830530401034935
-5.0,-0.1068,0.00925,0.00395,-0.0902,0.8786,0.0245,airfoil_0528,-11.545945945945947
-4.0,0.0043,0.00833,0.00282,-0.0891,0.8327,0.032,airfoil_0528,0.5162064825930371
-3.0,0.1156,0.00782,0.00205,-0.0881,0.773,0.0425,airfoil_0528,14.782608695652172
-2.0,0.2266,0.00746,0.00151,-0.0871,0.7027,0.0703,airfoil_0528,30.37533512064343
-1.0,0.3371,0.00747,0.00131,-0.0863,0.6192,0.1179,airfoil_0528,45.12717536813923
0.0,0.4468,0.00756,0.00133,-0.0856,0.5299,0.2236,airfoil_0528,59.1005291005291
1.0,0.561,0.00616,0.00162,-0.0862,0.4541,0.9999,airfoil_0528,91.07142857142858
2.0,0.6694,0.0067,0.00185,-0.0852,0.4089,0.9999,airfoil_0528,99.91044776119402
3.0,0.7792,0.00722,0.0022,-0.0844,0.3821,0.9999,airfoil_0528,107.92243767313019
4.0,0.8898,0.0077,0.00262,-0.0839,0.3646,0.9999,airfoil_0528,115.55844155844156
5.0,0.9994,0.00827,0.00313,-0.0832,0.3413,0.9999,airfoil_0528,120.84643288996372
6.0,1.1084,0.00885,0.0037,-0.0825,0.3124,0.9999,airfoil_0528,125.24293785310735
7.0,1.2142,0.00969,0.00443,-0.0813,0.262,0.9999,airfoil_0528,125.30443756449947
8.0,1.2989,0.01238,0.00637,-0.0771,0.12,0.9999,airfoil_0528,104.91922455573504
9.0,1.3768,0.01532,0.00887,-0.0719,0.0397,0.9999,airfoil_0528,89.86945169712794
10.0,1.455,0.01765,0.01123,-0.0667,0.0236,0.9999,airfoil_0528,82.43626062322947
11.0,1.5115,0.02049,0.01422,-0.0582,0.0173,0.9999,airfoil_0528,73.767691556857
12.0,1.553,0.02436,0.01835,-0.0495,0.0134,0.9999,airfoil_0528,63.75205254515599
13.0,1.5787,0.03028,0.02458,-0.0422,0.0107,0.9999,airfoil_0528,52.136723910171725
14.0,1.5913,0.03896,0.03364,-0.0381,0.0092,0.9999,airfoil_0528,40.84445585215605
15.0,1.5653,0.05405,0.04917,-0.0382,0.0082,0.9999,airfoil_0528,28.960222016651247
-4.0,-0.4645,0.00779,0.00242,0.0013,0.9904,0.1463,airfoil_0526,-59.62772785622593
-3.0,-0.3265,0.00646,0.00176,-0.0045,0.9765,0.307,airfoil_0526,-50.54179566563468
-2.0,-0.2112,0.00551,0.00133,-0.0047,0.9346,0.4683,airfoil_0526,-38.330308529945555
-1.0,-0.106,0.00492,0.00107,-0.0023,0.859,0.6223,airfoil_0526,-21.54471544715447
0.0,0.0001,0.00482,0.00097,-0.0,0.7408,0.7407,airfoil_0526,0.020746887966804982
1.0,0.1061,0.00492,0.00107,0.0022,0.6222,0.8589,airfoil_0526,21.565040650406505
2.0,0.2113,0.00551,0.00133,0.0046,0.4685,0.9346,airfoil_0526,38.34845735027223
3.0,0.3265,0.00646,0.00176,0.0045,0.3073,0.9765,airfoil_0526,50.54179566563468
4.0,0.4645,0.00779,0.00242,-0.0013,0.1465,0.9904,airfoil_0526,59.62772785622593
5.0,0.6053,0.00906,0.00328,-0.0077,0.0587,0.999,airfoil_0526,66.81015452538631
6.0,0.7057,0.01026,0.00439,-0.0053,0.0333,1.0,airfoil_0526,68.78167641325535
7.0,0.7992,0.01148,0.00567,-0.0011,0.0261,1.0,airfoil_0526,69.61672473867596
8.0,0.8929,0.01303,0.00734,0.0028,0.0215,1.0,airfoil_0526,68.52647735993861
9.0,0.9869,0.01498,0.00947,0.0063,0.0174,1.0,airfoil_0526,65.8811748998665
10.0,1.0788,0.01737,0.01209,0.0097,0.0138,1.0,airfoil_0526,62.10708117443868
11.0,1.1623,0.02051,0.0155,0.0138,0.0113,1.0,airfoil_0526,56.66991711360313
12.0,1.2366,0.0241,0.01955,0.0186,0.01,1.0,airfoil_0526,51.31120331950207
13.0,1.2789,0.02895,0.02484,0.0261,0.0092,1.0,airfoil_0526,44.17616580310881
14.0,1.2511,0.04118,0.03774,0.0289,0.0087,1.0,airfoil_0526,30.381253035454105
15.0,1.1812,0.06842,0.06569,0.0113,0.0087,1.0,airfoil_0526,17.263957907044727
-5.0,-0.4861,0.00937,0.00387,-0.0183,0.9987,0.021,airfoil_0523,-51.878335112059766
-4.0,-0.3465,0.00812,0.00256,-0.0241,0.9907,0.0371,airfoil_0523,-42.672413793103445
-3.0,-0.2073,0.00689,0.0017,-0.03,0.9786,0.1273,airfoil_0523,-30.08708272859216
-2.0,-0.0873,0.00571,0.0012,-0.0317,0.9499,0.3281,airfoil_0523,-15.288966725043784
-1.0,0.017,0.00458,0.00091,-0.0295,0.8908,0.6292,airfoil_0523,3.711790393013101
0.0,0.1189,0.00409,0.00085,-0.0263,0.8028,0.8508,airfoil_0523,29.070904645476777
1.0,0.2356,0.00438,0.00098,-0.0259,0.6849,0.9849,airfoil_0523,53.789954337899545
2.0,0.3705,0.0052,0.00116,-0.0309,0.5135,1.0,airfoil_0523,71.25
3.0,0.4721,0.00618,0.0015,-0.0288,0.34,1.0,airfoil_0523,76.3915857605178
4.0,0.5708,0.00788,0.00229,-0.0264,0.1191,1.0,airfoil_0523,72.43654822335026
5.0,0.6737,0.00935,0.00338,-0.0245,0.0317,1.0,airfoil_0523,72.05347593582887
6.0,0.778,0.01086,0.00494,-0.0227,0.0179,1.0,airfoil_0523,71.6390423572744
7.0,0.879,0.01293,0.00722,-0.0203,0.0126,1.0,airfoil_0523,67.98143851508121
8.0,0.973,0.01609,0.01068,-0.0171,0.0099,1.0,airfoil_0523,60.472343070229954
9.0,1.0611,0.02023,0.01536,-0.0133,0.0086,1.0,airfoil_0523,52.4518042511122
10.0,1.1314,0.02665,0.02256,-0.0079,0.0078,1.0,airfoil_0523,42.45403377110694
11.0,1.1671,0.03509,0.03187,-0.0008,0.0073,1.0,airfoil_0523,33.260188087774296
12.0,1.1168,0.04943,0.04704,0.0042,0.0071,1.0,airfoil_0523,22.593566659923123
-5.0,-0.3086,0.00846,0.00292,-0.0567,0.9204,0.0748,airfoil_0531,-36.47754137115839
-4.0,-0.1984,0.00768,0.00223,-0.0555,0.8842,0.1242,airfoil_0531,-25.833333333333332
-3.0,-0.0872,0.00705,0.00174,-0.0547,0.8392,0.1985,airfoil_0531,-12.368794326241135
-2.0,0.0242,0.00658,0.00142,-0.054,0.7826,0.3021,airfoil_0531,3.6778115501519757
-1.0,0.135,0.00612,0.00124,-0.0533,0.7204,0.4542,airfoil_0531,22.058823529411768
0.0,0.2434,0.00575,0.00124,-0.0521,0.6457,0.6626,airfoil_0531,42.3304347826087
1.0,0.3503,0.00559,0.00141,-0.0502,0.5785,0.8391,airfoil_0531,62.665474060822895
2.0,0.4566,0.00586,0.00171,-0.0477,0.5174,0.9574,airfoil_0531,77.91808873720137
3.0,0.599,0.00645,0.00204,-0.0538,0.4498,0.994,airfoil_0531,92.86821705426357
4.0,0.7244,0.00708,0.00242,-0.0565,0.3803,0.9999,airfoil_0531,102.31638418079096
5.0,0.818,0.00812,0.00301,-0.0526,0.2771,0.9999,airfoil_0531,100.73891625615762
6.0,0.912,0.00952,0.00393,-0.049,0.1752,0.9999,airfoil_0531,95.7983193277311
7.0,1.0061,0.01122,0.00519,-0.0457,0.0918,0.9999,airfoil_0531,89.67023172905525
8.0,1.1013,0.01282,0.0066,-0.0426,0.0545,0.9999,airfoil_0531,85.90483619344774
9.0,1.194,0.0145,0.00825,-0.0392,0.0369,0.9999,airfoil_0531,82.34482758620689
10.0,1.28,0.01644,0.01023,-0.0348,0.0276,0.9999,airfoil_0531,77.85888077858881
11.0,1.3504,0.01882,0.01275,-0.0281,0.0221,0.9999,airfoil_0531,71.75345377258236
12.0,1.4019,0.02203,0.01616,-0.0196,0.0188,0.9999,airfoil_0531,63.63595097594189
13.0,1.4485,0.02603,0.02046,-0.0127,0.017,0.9999,airfoil_0531,55.64733000384172
14.0,1.466,0.03325,0.02798,-0.0068,0.0155,0.9999,airfoil_0531,44.09022556390977
15.0,1.4781,0.04263,0.03776,-0.0047,0.0147,0.9999,airfoil_0531,34.672765657987334
-5.0,-0.115,0.00818,0.00289,-0.1147,0.943,0.0584,airfoil_0529,-14.058679706601469
-4.0,-0.0013,0.0073,0.00216,-0.1147,0.9288,0.1129,airfoil_0529,-0.1780821917808219
-3.0,0.1117,0.00651,0.00165,-0.1145,0.9098,0.2109,airfoil_0529,17.15821812596006
-2.0,0.2262,0.0059,0.00135,-0.1146,0.8917,0.329,airfoil_0529,38.33898305084746
-1.0,0.3404,0.00545,0.00121,-0.1146,0.8672,0.4602,airfoil_0529,62.45871559633027
1.0,0.5666,0.00512,0.00128,-0.1137,0.7948,0.6667,airfoil_0529,110.66406249999999
2.0,0.6699,0.00537,0.00148,-0.111,0.6808,0.7844,airfoil_0529,124.74860335195532
3.0,0.7634,0.0063,0.00205,-0.1064,0.4965,0.9998,airfoil_0529,121.17460317460316
4.0,0.859,0.00801,0.00289,-0.1031,0.3032,0.9998,airfoil_0529,107.24094881398253
5.0,0.952,0.01007,0.00408,-0.0996,0.1257,0.9998,airfoil_0529,94.53823237338628
6.0,1.0486,0.01178,0.00539,-0.0965,0.0523,0.9998,airfoil_0529,89.01528013582342
7.0,1.1459,0.01329,0.00683,-0.0934,0.0301,0.9998,airfoil_0529,86.22272385252069
8.0,1.2372,0.01518,0.00877,-0.0893,0.0209,0.9998,airfoil_0529,81.50197628458498
9.0,1.3205,0.01744,0.01119,-0.0838,0.0168,0.9998,airfoil_0529,75.71674311926606
10.0,1.3934,0.01978,0.01374,-0.0767,0.0143,0.9998,airfoil_0529,70.4448938321537
11.0,1.4443,0.0234,0.01769,-0.0667,0.0126,0.9998,airfoil_0529,61.722222222222214
12.0,1.493,0.02718,0.02177,-0.0578,0.0112,0.9998,airfoil_0529,54.93009565857248
13.0,1.5053,0.0342,0.02926,-0.0469,0.0103,0.9998,airfoil_0529,44.014619883040936
14.0,1.5158,0.0423,0.03789,-0.0393,0.0096,0.9998,airfoil_0529,35.83451536643026
15.0,1.5005,0.05466,0.05081,-0.0355,0.0091,0.9998,airfoil_0529,27.451518477863154
-5.0,-0.5624,0.0086,0.00315,-0.0028,0.9853,0.1393,airfoil_0534,-65.3953488372093
-4.0,-0.4346,0.00737,0.00238,-0.0061,0.9649,0.2437,airfoil_0534,-58.96879240162822
-3.0,-0.3252,0.00649,0.00184,-0.0047,0.9244,0.3519,airfoil_0534,-50.10785824345146
-2.0,-0.2185,0.00589,0.00146,-0.0027,0.8592,0.4652,airfoil_0534,-37.096774193548384
-1.0,-0.1095,0.00558,0.00123,-0.0013,0.7737,0.5702,airfoil_0534,-19.623655913978496
0.0,0.0,0.00547,0.00116,-0.0,0.6811,0.6811,airfoil_0534,0.0
1.0,0.1095,0.00558,0.00123,0.0013,0.5703,0.7738,airfoil_0534,19.623655913978496
2.0,0.2185,0.00589,0.00146,0.0027,0.4651,0.8588,airfoil_0534,37.096774193548384
3.0,0.3252,0.00649,0.00184,0.0047,0.3516,0.9245,airfoil_0534,50.10785824345146
4.0,0.4346,0.00737,0.00238,0.006,0.2439,0.9651,airfoil_0534,58.96879240162822
5.0,0.5625,0.0086,0.00315,0.0028,0.1392,0.9853,airfoil_0534,65.40697674418605
6.0,0.7016,0.00989,0.00411,-0.0031,0.0758,0.9943,airfoil_0534,70.94034378159758
7.0,0.837,0.01118,0.00526,-0.0082,0.0476,1.0,airfoil_0534,74.86583184257601
8.0,0.9209,0.01244,0.00651,-0.0024,0.0352,1.0,airfoil_0534,74.02733118971062
9.0,1.0058,0.01391,0.00805,0.0032,0.0285,1.0,airfoil_0534,72.3076923076923
10.0,1.0916,0.01574,0.01001,0.0082,0.0242,1.0,airfoil_0534,69.35196950444725
11.0,1.1757,0.01803,0.01246,0.0128,0.0209,1.0,airfoil_0534,65.2079866888519
12.0,1.2539,0.02058,0.01528,0.0178,0.0187,1.0,airfoil_0534,60.92808551992225
13.0,1.296,0.02464,0.01964,0.0266,0.0169,1.0,airfoil_0534,52.5974025974026
14.0,1.3323,0.02967,0.02504,0.0325,0.0157,1.0,airfoil_0534,44.903943377148636
15.0,1.3462,0.03865,0.03439,0.0332,0.0146,1.0,airfoil_0534,34.830530401034935
-5.0,-0.4454,0.00867,0.00319,-0.0089,0.7183,0.3401,airfoil_0532,-51.37254901960784
-4.0,-0.3385,0.00839,0.00284,-0.007,0.6634,0.3788,airfoil_0532,-40.345649582836714
-3.0,-0.2313,0.00816,0.0026,-0.0051,0.6123,0.4267,airfoil_0532,-28.345588235294116
-2.0,-0.1227,0.00808,0.00245,-0.0036,0.5534,0.4664,airfoil_0532,-15.185643564356436
-1.0,-0.0143,0.00804,0.00238,-0.002,0.5027,0.5158,airfoil_0532,-1.7786069651741294
1.0,0.2043,0.00821,0.00254,0.0006,0.4155,0.6141,airfoil_0532,24.884287454323996
2.0,0.3124,0.00842,0.00276,0.002,0.3736,0.6639,airfoil_0532,37.1021377672209
3.0,0.4194,0.00873,0.00307,0.0036,0.3296,0.7147,airfoil_0532,48.04123711340206
4.0,0.5241,0.00913,0.00352,0.0056,0.291,0.7741,airfoil_0532,57.40416210295729
5.0,0.6269,0.00968,0.00411,0.0079,0.259,0.8271,airfoil_0532,64.76239669421489
6.0,0.7271,0.01033,0.0048,0.0106,0.2308,0.8763,airfoil_0532,70.38722168441431
7.0,0.82,0.01112,0.00564,0.0147,0.2096,0.9202,airfoil_0532,73.7410071942446
8.0,0.904,0.01208,0.00666,0.0204,0.1927,0.9585,airfoil_0532,74.83443708609272
9.0,1.0126,0.01344,0.008,0.0202,0.1758,0.9842,airfoil_0532,75.3422619047619
10.0,1.1377,0.01519,0.00967,0.0155,0.157,0.9941,airfoil_0532,74.89795918367346
11.0,1.2332,0.01693,0.01141,0.0159,0.1408,1.0,airfoil_0532,72.84111045481394
12.0,1.2606,0.01904,0.01354,0.028,0.1293,1.0,airfoil_0532,66.2079831932773
13.0,1.313,0.02227,0.01683,0.0333,0.1187,1.0,airfoil_0532,58.958239784463395
14.0,1.3612,0.02667,0.02133,0.0369,0.1096,1.0,airfoil_0532,51.03862017247844
15.0,1.3995,0.03251,0.02731,0.0392,0.1009,1.0,airfoil_0532,43.048292832974475
-4.0,-0.0005,0.00753,0.0023,-0.1156,0.9516,0.0472,airfoil_0530,-0.06640106241699867
-3.0,0.1132,0.00663,0.00166,-0.1157,0.9377,0.1355,airfoil_0530,17.07390648567119
-2.0,0.2253,0.00574,0.00122,-0.1154,0.9174,0.3037,airfoil_0530,39.25087108013937
-1.0,0.3378,0.00523,0.00107,-0.1151,0.8956,0.4491,airfoil_0530,64.5889101338432
0.0,0.4508,0.00485,0.00109,-0.1149,0.8715,0.6165,airfoil_0530,92.94845360824742
1.0,0.5613,0.0046,0.00115,-0.1138,0.8304,0.7513,airfoil_0530,122.0217391304348
2.0,0.6642,0.00451,0.00126,-0.1107,0.7284,0.9999,airfoil_0530,147.27272727272728
3.0,0.7536,0.00665,0.00202,-0.106,0.4131,0.9999,airfoil_0530,113.3233082706767
4.0,0.8445,0.00925,0.00326,-0.1023,0.1112,0.9999,airfoil_0530,91.2972972972973
5.0,0.9442,0.01102,0.00463,-0.0998,0.0286,0.9999,airfoil_0530,85.68058076225046
6.0,1.0451,0.01257,0.00626,-0.0972,0.0186,0.9999,airfoil_0530,83.14240254574383
7.0,1.1385,0.01489,0.0088,-0.0932,0.0141,0.9999,airfoil_0530,76.46071188717261
8.0,1.2213,0.01844,0.01263,-0.0877,0.0109,0.9999,airfoil_0530,66.23101952277656
9.0,1.3052,0.02171,0.0163,-0.0824,0.0095,0.9999,airfoil_0530,60.119760479041915
10.0,1.3782,0.02543,0.0204,-0.076,0.0081,0.9999,airfoil_0530,54.19583169484861
11.0,1.4012,0.03356,0.02946,-0.0629,0.0071,0.9999,airfoil_0530,41.75208581644815
12.0,1.3765,0.04386,0.04067,-0.0479,0.0066,0.9999,airfoil_0530,31.38394892840857
13.0,1.3009,0.06243,0.06013,-0.0422,0.0064,0.9999,airfoil_0530,20.83773826685888
14.0,1.1844,0.10329,0.10174,-0.0659,0.0067,0.9999,airfoil_0530,11.466744118501305
15.0,0.75,0.16045,0.15907,-0.0726,0.0102,0.9999,airfoil_0530,4.674353381115612
-5.0,-0.2254,0.00987,0.00465,-0.0587,0.9273,0.0213,airfoil_0536,-22.836879432624112
-4.0,-0.118,0.00881,0.00331,-0.0564,0.8685,0.0244,airfoil_0536,-13.393870601589102
-3.0,-0.0087,0.00803,0.0023,-0.0548,0.801,0.0338,airfoil_0536,-1.083437110834371
-2.0,0.1014,0.00775,0.00172,-0.0536,0.715,0.0495,airfoil_0536,13.083870967741936
-1.0,0.2116,0.00775,0.0014,-0.0525,0.6083,0.0757,airfoil_0536,27.303225806451614
0.0,0.3211,0.00789,0.00132,-0.0517,0.4886,0.1628,airfoil_0536,40.69708491761724
1.0,0.4131,0.00631,0.00154,-0.0476,0.3814,0.923,airfoil_0536,65.4675118858954
2.0,0.5581,0.00707,0.00186,-0.0546,0.2952,0.9999,airfoil_0536,78.93917963224895
3.0,0.6613,0.00761,0.0022,-0.0524,0.2681,0.9999,airfoil_0536,86.8988173455979
4.0,0.7676,0.00816,0.00266,-0.0509,0.2538,0.9999,airfoil_0536,94.06862745098037
5.0,0.8752,0.00878,0.00324,-0.0498,0.24,0.9999,airfoil_0536,99.68109339407745
6.0,0.9835,0.00941,0.00388,-0.0489,0.2257,0.9999,airfoil_0536,104.51647183846971
7.0,1.0926,0.00998,0.00451,-0.0481,0.2083,0.9999,airfoil_0536,109.47895791583167
8.0,1.1997,0.01074,0.00523,-0.0471,0.1708,0.9999,airfoil_0536,111.70391061452514
9.0,1.2883,0.01331,0.00726,-0.0438,0.0735,0.9999,airfoil_0536,96.79188580015025
10.0,1.3728,0.01603,0.00981,-0.0398,0.0303,0.9999,airfoil_0536,85.6394260761073
11.0,1.4521,0.01871,0.01259,-0.0352,0.0177,0.9999,airfoil_0536,77.61090326028861
12.0,1.5095,0.02201,0.01613,-0.0275,0.0128,0.9999,airfoil_0536,68.58246251703771
13.0,1.5464,0.02624,0.02069,-0.019,0.0111,0.9999,airfoil_0536,58.9329268292683
14.0,1.545,0.03505,0.02996,-0.013,0.0099,0.9999,airfoil_0536,44.07988587731812
15.0,1.5283,0.04921,0.04463,-0.0149,0.0093,0.9999,airfoil_0536,31.0566957935379
-5.0,0.0447,0.00868,0.00283,-0.1285,0.7686,0.0812,airfoil_0535,5.1497695852534555
-4.0,0.1584,0.00831,0.00238,-0.128,0.7302,0.1031,airfoil_0535,19.061371841155236
-3.0,0.2715,0.00806,0.00209,-0.1276,0.6903,0.1354,airfoil_0535,33.684863523573206
-2.0,0.3834,0.00798,0.00195,-0.1269,0.6428,0.1773,airfoil_0535,48.04511278195489
-1.0,0.4941,0.00799,0.00195,-0.1261,0.5976,0.2357,airfoil_0535,61.8397997496871
0.0,0.6045,0.00809,0.00208,-0.1254,0.5562,0.3116,airfoil_0535,74.72187886279357
1.0,0.7136,0.0079,0.00233,-0.1247,0.5231,0.5164,airfoil_0535,90.32911392405063
2.0,0.8123,0.00733,0.0028,-0.1212,0.4971,0.9191,airfoil_0535,110.81855388813098
3.0,0.9332,0.00777,0.00314,-0.1228,0.4751,0.9997,airfoil_0535,120.10296010296011
4.0,1.0384,0.00834,0.00358,-0.1211,0.4522,0.9997,airfoil_0535,124.5083932853717
5.0,1.1435,0.0089,0.00409,-0.1195,0.4322,0.9997,airfoil_0535,128.48314606741573
6.0,1.2453,0.00951,0.00466,-0.1174,0.4035,0.9997,airfoil_0535,130.94637223974766
7.0,1.3354,0.0104,0.00544,-0.1131,0.3665,0.9997,airfoil_0535,128.40384615384616
8.0,1.4169,0.01176,0.00662,-0.1076,0.3168,0.9997,airfoil_0535,120.48469387755102
9.0,1.4887,0.01367,0.00834,-0.101,0.2625,0.9997,airfoil_0535,108.90270665691294
10.0,1.5441,0.01655,0.01094,-0.0928,0.2002,0.9997,airfoil_0535,93.29909365558913
